image_name|category|google_desc|aws_desc|azure_desc
1b0b0b614b.jpg|animals|Esta imagen muestra un paisaje con un lago, árboles y montañas. El cielo está despejado y la luz del sol ilumina el ent|Un impala es un animal mamífero de la familia de los antílopes que se encuentra en su hábitat natural. Es una especie de vida silvestre m|un ciervo parado en un campo
26c7056eda.jpg|animals|Un perro sonriente que está sentado en el suelo, con sus patas delanteras estiradas y su cola moviéndose alegremente.|Un animal canino, perteneciente a la familia de los mamíferos, es una mascota muy popular entre los dueños de casa.|un perro acostado en el suelo
27d2bc42a2.jpg|animals|Esta imagen muestra una granja en un hermoso paisaje. El cielo está despejado y el sol brilla sobre los campos verdes. Los árb|Una persona con gafas de sol está caminando con su mascota.|un delfín con gafas rosadas
38c1ba3f5f.jpg|animals|"Es una hermosa cabeza, con una mirada encantadora."|Un oso, un mamífero salvaje, se encuentra con una comadreja en su entorno natural.|Un animal pequeño parado en un arbusto
3a341e64eb.jpg|animals|"Un pájaro volando en el cielo azul."|En la imagen se ve a una persona acercándose a una colonia de pingüinos rey. Estos animales, que pertenecen a la familia de aves, destacan por|un pingüino de pie en la nieve
3b2e27503f.jpg|animals|Un perro feliz corriendo alegremente a través de un prado verde.|Un animal mamífero, el lobo, perteneciente a la familia canina, es conocido como el perro salvaje.|un lobo parado en la nieve
474d367268.jpg|animals|"Un hombre de cabello rubio llevando un sombrero de ala ancha."|Un mapache, un mamífero, es una mascota divertida y juguetona. Tiene características similares a las de un gato, como su pelaje gr|un mapache sentado en la hierba
4c56ad01a9.jpg|animals|"Un pájaro volando en el cielo azul."|Un animal, un ave, una oca, una ave acuática y un pato, nadando en un lago con el sol brillando en el cielo.|Un grupo de patos blancos
4c6ec7185d.jpg|animals|"Un hermoso cabello cortado con precisión, con un estilo desenfadado que destaca su belleza natural."|Un león, un mamífero de la vida salvaje, es un animal imponente y majestuoso.|un león acostado
4faf55514e.jpg|animals|"Un pájaro volando en el cielo azul."|Un parrot macaw es un animal con un pico largo y afilado. Esta ave colorida tiene una variedad de plumas brillantes y es conocida por su habilidad para im|un pájaro colorido con fondo blanco
6b4b95f0c4.jpg|animals|Una imagen que muestra una primavera con un cielo azul y árboles verdes con flores rosas.|Un roedor salvaje, perteneciente a la familia de los mamíferos, se encuentra en su hábitat natural.|Un bate con la cabeza de un ratón
6be2eb3fb3.jpg|animals|"Un pájaro volando en el aire."|Un parakeet y un loro, dos aves con picos afilados, son los protagonistas de esta imagen. Ambos animales tienen plumas de colores brillantes y se ven muy|una persona sosteniendo un lagarto verde
6e21804c31.jpg|animals|Esta imagen muestra una hermosa bengala de color rojo brillante que se encuentra en un entorno natural. El fuego de la bengala ilumina el cielo|Un tigre, un mamífero salvaje, se pasea por el suelo en una escena de la vida silvestre.|un tigre caminando sobre una roca
72decb40db.jpg|animals|"Un pájaro volando en el aire con una hermosa cola de colores brillantes."|Un ave acuática de color azul verdoso de la familia Anseriformes nadando en un lago.|Un pato de pie sobre la hierba
7c43d5ca9e.jpg|animals|Una flor blanca con muchas ramas alargadas, extendiéndose hacia el cielo.|Un hermoso canino de la raza Golden Retriever, un mamífero muy cariñoso y juguetón.|un perro corriendo a través de un campo de flores amarillas
7c99b5a89d.jpg|animals|"Una imagen de un pinguino que está caminando en una playa, con el sol brillando y el océano a lo lejos."|Un adulto macho de pingüino, una ave de apariencia peculiar, se destaca entre los demás animales.|un hombre arrodillado al lado de los pingüinos
7d42f0e881.jpg|animals|Una imagen de un paisaje con un lago, una montaña y una palmera en el fondo.|Una vaca es un mamífero perteneciente al ganado o ganadería, un tipo de animal doméstico que se cría para producir alimentos y otros|un grupo de vacas con la boca abierta
7d8f058238.jpg|animals|Una mujer de pie con una sonrisa en su rostro, con una chaqueta de mezclilla y una blusa blanca.|Un león, un mamífero salvaje, se mueve lentamente a través de un campo abierto.|un león en un campo
7e29f317b0.jpg|animals|Esta imagen muestra una panorámica de un paisaje, con un lago, árboles y montañas al fondo.|Una vaca es un animal perteneciente a la familia de los mamíferos y al ganado. Es un animal de granja muy comúnmente utilizado para la produ|Una vaca en un campo
81b58d7d07.jpg|animals|Un gato blanco sentado en una alfombra colorida.|Una gata con una cría jugando en un prado verde. Ambos son mamíferos que disfrutan del sol y la hierba fresca.|un grupo de gatitos en la hierba
83e8a824a2.jpg|animals|Un gato blanco se sienta sobre una alfombra colorida.|Un pequeño gatito es un animal doméstico de la familia de los mamíferos.|Un gato acostado en la hierba
8ef5c5ba7d.jpg|animals|Esta imagen muestra una bengala encendida, que arde con una luz brillante y hermosa.|Un tigre, un mamífero salvaje, se encuentra en su hábitat natural, mostrando su majestuosidad y belleza.|un tigre y un bebé tigre acostado en la hierba
99e296bf48.jpg|animals|Esta imagen muestra una escena de una playa tranquila con una puesta de sol. El cielo está pintado con tonos de naranja y rosa, mientras|Un erizo junto a un cerdo, ambos mamíferos salvajes que viven en la naturaleza.|Un tejón en la hierba
9bd48a19a4.jpg|animals|Un perro amigable con una mirada dulce, que se sienta en la hierba con una gran sonrisa.|Este animal canino es un perro, una especie de hound, un mamífero.|un perro con collar
002_0232.jpeg|architecture|Un hermoso atardecer con el cielo de un color rosado y naranja. El sol se oculta detrás de una montaña, creando una vista ú|En la imagen se ve una persona parada frente al Partenón, un templo de la antigua arquitectura griega.|Un edificio de piedra con estatuas
006_0004.jpg|architecture|La imagen muestra una ventana abierta con una brisa fresca soplando en el interior. El aire entra y sale con suavidad, refrescando el lugar.|"Sunset Una imagen de un aro de metal colgando de un ladrillo en una ciudad con el sol poniéndose en el horizonte."|un reloj en un poste
007_0005.jpg|architecture|Un hermoso cielo azul con un sol brillante que se refleja en el mar cristalino, creando una escena de tranquilidad y paz.|Una imagen de un templo antiguo, con una arquitectura imponente, con una atmósfera de oración y reverencia, que se eleva como|un edificio con columnas
008_0001.jpg|architecture|Una bañera con agua tibia y burbujas, con una toalla blanca y una taza de té a un lado.|Una persona disfruta de un baño caliente en una bañera.|una bañera con una ventana
033_0033.jpeg|architecture|Un paisaje de un cielo nublado con una casa de campo en el fondo, rodeada por un prado verde y un lago cercano.|"Ancient El Acueducto de Segovia es un famoso monumento histórico que data desde el siglo I d.C. Está compuesto por más de 170 arcos y una"|un puente de piedra con arcos con segovia en el fondo
058_0024.jpg|architecture|"Esta imagen muestra una puerta con una ventana. La puerta es de color marrón oscuro con una ventana de cristal transparente."|Una puerta de madera con una manija oxidada y corroída por la herrumbre.|una manija de puerta de metal
062_0001.jpg|architecture|La imagen muestra una nube gris que se extiende a través de un cielo azul claro.|Una hermosa vista de la ciudad iluminada por la luz de la luna, rodeada de la naturaleza.|una torre alta con luces por la noche
062_0040.jpg|architecture|Esta imagen muestra una torre alta y elegante con una hermosa vista al océano. El cielo está lleno de nubes blancas que contrastan con la|En esta imagen se ve una ciudad metrópolis iluminada por la luz de la noche urbana.|una torre alta con luces
112_0077.jpeg|architecture|Un hermoso atardecer con el cielo en tonos de rosa y amarillo, el sol se esconde en el horizonte sobre un mar de tranquilas olas.|La Sagrada Familia es una iglesia católica ubicada en Barcelona, España, y es una de las obras maestras de la arquitectura modernista del siglo|un gran edificio de piedra
122_0033.jpeg|architecture|Una imagen de un cielo azul con una hermosa puesta de sol, donde el sol se refleja en el mar y se ve una silueta de una persona sosteni|Esta imagen muestra una hermosa villa de estilo arquitectónico. La casa tiene un diseño moderno, con una fachada de piedra y un techo|una casa con un césped
135_0073.jpg|architecture|Una imagen de un paisaje con un lago, una montaña y una palmera.|Una hermosa vista de la naturaleza, con una pradera verde que se extiende hasta el horizonte, en un entorno al aire libre de un patio trasero|un edificio de ladrillo con un letrero frente a
162_0016.jpg|architecture|Una imagen de un paisaje con un lago, una montaña y una palmera en el horizonte.|En un vecindario suburbano, una casa se destaca entre los demás edificios de viviendas, rodeada de césped verde y árboles.|una casa con un césped y una mesa de picnic en el frente
162_0034.jpg|architecture|Una imagen de un paisaje con un lago, árboles y una montaña al fondo.|Esta imagen muestra una casa de madera al aire libre rodeada de vegetación. Esta casa ofrece un refugio para aquellos que buscan descans|Una estructura de madera en el bosque
167_0005.jpg|architecture|Una imagen de una hermosa puesta de sol con un cielo nublado, en el que se destacan los tonos dorados y rosados.|Una impresionante pirámide triangular es un destacado monumento arquitectónico, destacándose a lo largo del paisaje.|una gran pirámide con luces con pirámide de Louvre en el fondo
167_0009.jpg|architecture|Esta imagen muestra una nube blanca con una forma redondeada y una sombra oscura detrás de ella. El cielo es de un color azul|Una persona se encuentra admirando la arquitectura impresionante de un edificio en forma de pirámide, una de las maravillas del mundo y uno de|un gran edificio con una pirámide de vidrio
167_0080.jpg|architecture|Un hermoso cielo azul con una luz dorada cayendo sobre una pequeña playa solitaria.|"Desert En un desierto, se encuentra una imponente pirámide de arquitectura única, que se destaca en el paisaje."|una pirámide con escaleras con chichén itza en el fondo
